driverId,eventTime,eventType
14,59:21.4,Normal
18,59:21.7,Normal
27,59:21.7,Normal
11,59:21.7,Normal
22,59:21.7,Normal
22,59:22.3,Normal
23,59:22.4,Normal
11,59:22.5,Normal
20,59:22.5,Normal
32,59:22.5,Normal
27,59:22.6,Normal
17,59:23.2,Normal
14,59:23.3,Normal
28,59:23.3,Normal
15,59:23.4,Normal
16,59:23.4,Normal
31,59:23.5,Normal
25,59:23.5,Normal
14,59:24.2,Normal
22,59:24.2,Normal
32,59:24.2,Normal
24,59:24.3,Normal
25,59:24.3,Normal
29,59:24.7,Normal
22,59:25.0,Normal
18,59:25.0,Normal
19,59:25.1,Normal
26,59:25.2,Normal
16,59:25.3,Normal
21,59:25.7,Normal
13,59:25.9,Normal
19,59:25.9,Normal
27,59:25.9,Normal
25,59:26.2,Normal
23,59:26.6,Normal
22,59:26.6,Normal
10,59:26.8,Normal
28,59:26.9,Normal
26,59:27.0,Normal
25,59:27.0,Normal
23,59:27.4,Normal
13,59:27.6,Normal
27,59:27.7,Normal
28,59:27.7,Normal
25,59:27.8,Normal
24,59:27.9,Normal
30,59:28.0,Normal
11,59:28.3,Normal
23,59:28.4,Normal
13,59:28.5,Normal
16,59:28.8,Normal
15,59:28.8,Normal
12,59:29.1,Normal
17,59:29.2,Normal
27,59:29.3,Normal
13,59:29.5,Normal
16,59:29.6,Normal
23,59:29.9,Normal
11,59:30.0,Normal
22,59:30.1,Normal
21,59:30.4,Normal
13,59:30.5,Normal
16,59:30.5,Normal
17,59:30.8,Normal
23,59:30.8,Normal
32,59:31.2,Normal
13,59:31.4,Normal
24,59:31.4,Normal
16,59:31.4,Normal
29,59:31.6,Normal
11,59:31.8,Normal
19,59:32.1,Normal
32,59:32.1,Normal
30,59:32.4,Normal
29,59:32.5,Normal
26,59:32.5,Normal
28,59:33.0,Normal
19,59:33.0,Normal
21,59:33.1,Normal
29,59:33.2,Normal
30,59:33.4,Normal
15,59:33.5,Normal
32,59:33.7,Normal
19,59:33.7,Normal
14,59:34.0,Normal
26,59:34.2,Normal
16,59:34.3,Normal
15,59:34.4,Normal
10,59:34.6,Normal
31,59:34.7,Normal
29,59:35.1,Normal
15,59:35.1,Normal
12,59:35.3,Normal
20,59:35.5,Normal
31,59:35.6,Normal
27,59:35.6,Normal
14,59:35.8,Normal
26,59:35.9,Normal
18,59:36.3,Normal
31,59:36.3,Normal
19,59:36.4,Normal
21,59:36.4,Normal
26,59:36.7,Normal
23,59:37.0,Normal
12,59:37.1,Normal
11,59:37.2,Normal
28,59:37.3,Normal
32,59:37.4,Normal
25,59:37.6,Normal
22,59:37.9,Normal
21,59:37.9,Normal
28,59:38.1,Normal
32,59:38.2,Normal
16,59:38.7,Normal
15,59:38.7,Normal
11,59:38.9,Normal
10,59:38.9,Normal
32,59:39.0,Normal
13,59:39.1,Normal
20,59:39.6,Normal
23,59:39.6,Normal
30,59:39.7,Normal
31,59:39.7,Normal
32,59:39.8,Normal
13,59:40.1,Normal
23,59:40.4,Normal
26,59:40.5,Normal
16,59:40.6,Normal
32,59:40.7,Normal
17,59:40.8,Normal
20,59:41.3,Normal
23,59:41.3,Normal
15,59:41.4,Normal
29,59:41.5,Normal
21,59:41.5,Normal
28,59:41.8,Normal
13,59:42.0,Normal
23,59:42.2,Normal
19,59:42.3,Normal
18,59:42.4,Normal
11,59:42.6,Normal
25,59:42.7,Normal
20,59:42.9,Normal
26,59:43.1,Normal
16,59:43.2,Normal
18,59:43.3,Normal
10,59:43.5,Normal
24,59:43.6,Normal
13,59:43.8,Normal
23,59:43.9,Normal
21,59:44.1,Normal
20,59:44.4,Normal
28,59:44.5,Normal
30,59:44.5,Normal
